order_number,customer_name,product_sku,quantity,status
ORD-10097,Customer 0097,SKU-0048,108,confirmed
ORD-10098,Customer 0098,SKU-0124,151,delayed
ORD-10099,Customer 0099,SKU-0135,315,confirmed
ORD-10100,Customer 0100,SKU-0026,436,confirmed
ORD-10101,Customer 0101,SKU-0059,194,confirmed
ORD-10102,Customer 0102,SKU-0004,372,in_transit
ORD-10103,Customer 0103,SKU-0071,33,delivered
ORD-10104,Customer 0104,SKU-0142,159,delayed
ORD-10105,Customer 0105,SKU-0033,336,delivered
ORD-10106,Customer 0106,SKU-0126,62,delivered
ORD-10107,Customer 0107,SKU-0147,155,in_transit
ORD-10108,Customer 0108,SKU-0113,184,confirmed
ORD-10109,Customer 0109,SKU-0014,139,delivered
ORD-10110,Customer 0110,SKU-0123,68,delivered
ORD-10111,Customer 0111,SKU-0103,261,processing
ORD-10112,Customer 0112,SKU-0014,87,processing
ORD-10113,Customer 0113,SKU-0145,495,confirmed
ORD-10114,Customer 0114,SKU-0064,70,in_transit
ORD-10115,Customer 0115,SKU-0107,320,in_transit
ORD-10116,Customer 0116,SKU-0058,407,in_transit
ORD-10117,Customer 0117,SKU-0116,475,in_transit
ORD-10118,Customer 0118,SKU-0110,166,in_transit
ORD-10119,Customer 0119,SKU-0016,322,delivered
ORD-10120,Customer 0120,SKU-0026,495,delayed
ORD-10121,Customer 0121,SKU-0055,145,delayed
ORD-10122,Customer 0122,SKU-0041,132,confirmed
ORD-10123,Customer 0123,SKU-0020,90,processing
ORD-10124,Customer 0124,SKU-0116,362,in_transit
ORD-10125,Customer 0125,SKU-0075,26,confirmed
ORD-10126,Customer 0126,SKU-0073,369,delivered
ORD-10127,Customer 0127,SKU-0019,361,confirmed
ORD-10128,Customer 0128,SKU-0068,413,delayed
ORD-10129,Customer 0129,SKU-0051,227,processing
ORD-10130,Customer 0130,SKU-0058,341,processing
ORD-10131,Customer 0131,SKU-0069,433,processing
ORD-10132,Customer 0132,SKU-0016,94,delayed
ORD-10133,Customer 0133,SKU-0146,481,confirmed
ORD-10134,Customer 0134,SKU-0032,249,delayed
ORD-10135,Customer 0135,SKU-0104,492,confirmed
ORD-10136,Customer 0136,SKU-0139,262,in_transit
ORD-10137,Customer 0137,SKU-0011,465,in_transit
ORD-10138,Customer 0138,SKU-0083,319,confirmed
ORD-10139,Customer 0139,SKU-0024,127,delivered
ORD-10140,Customer 0140,SKU-0148,310,delivered
ORD-10141,Customer 0141,SKU-0069,305,processing
ORD-10142,Customer 0142,SKU-0045,250,in_transit
ORD-10143,Customer 0143,SKU-0114,479,confirmed
ORD-10144,Customer 0144,SKU-0150,233,delayed
ORD-10145,Customer 0145,SKU-0126,56,in_transit
ORD-10146,Customer 0146,SKU-0105,180,confirmed
ORD-10147,Customer 0147,SKU-0027,449,confirmed
ORD-10148,Customer 0148,SKU-0106,365,in_transit
ORD-10149,Customer 0149,SKU-0103,426,delayed
ORD-10150,Customer 0150,SKU-0010,242,processing
ORD-10151,Customer 0151,SKU-0065,175,processing
ORD-10152,Customer 0152,SKU-0104,452,in_transit
ORD-10153,Customer 0153,SKU-0001,346,delivered
ORD-10154,Customer 0154,SKU-0119,221,processing
ORD-10155,Customer 0155,SKU-0133,195,delayed
ORD-10156,Customer 0156,SKU-0128,330,in_transit
ORD-10157,Customer 0157,SKU-0014,114,confirmed
ORD-10158,Customer 0158,SKU-0034,484,confirmed
ORD-10159,Customer 0159,SKU-0125,72,processing
ORD-10160,Customer 0160,SKU-0062,373,confirmed
ORD-10161,Customer 0161,SKU-0142,17,in_transit
ORD-10162,Customer 0162,SKU-0024,125,delivered
ORD-10163,Customer 0163,SKU-0030,246,delivered
ORD-10164,Customer 0164,SKU-0040,265,delivered
ORD-10165,Customer 0165,SKU-0075,270,delayed
ORD-10166,Customer 0166,SKU-0107,437,in_transit
ORD-10167,Customer 0167,SKU-0121,134,in_transit
ORD-10168,Customer 0168,SKU-0038,206,confirmed
ORD-10169,Customer 0169,SKU-0131,392,delivered
ORD-10170,Customer 0170,SKU-0018,151,delayed
ORD-10171,Customer 0171,SKU-0107,184,delivered
ORD-10172,Customer 0172,SKU-0130,146,delivered
ORD-10173,Customer 0173,SKU-0073,381,confirmed
ORD-10174,Customer 0174,SKU-0149,347,in_transit
ORD-10175,Customer 0175,SKU-0039,238,in_transit
ORD-10176,Customer 0176,SKU-0089,180,in_transit
ORD-10177,Customer 0177,SKU-0140,203,in_transit
ORD-10178,Customer 0178,SKU-0083,455,confirmed
ORD-10179,Customer 0179,SKU-0062,302,confirmed
ORD-10180,Customer 0180,SKU-0106,32,confirmed
ORD-10181,Customer 0181,SKU-0122,371,delivered
ORD-10182,Customer 0182,SKU-0098,207,delivered
ORD-10183,Customer 0183,SKU-0039,263,delivered
ORD-10184,Customer 0184,SKU-0033,267,delivered
ORD-10185,Customer 0185,SKU-0085,455,processing
ORD-10186,Customer 0186,SKU-0113,61,in_transit
ORD-10187,Customer 0187,SKU-0117,17,delayed
ORD-10188,Customer 0188,SKU-0105,455,delayed
ORD-10189,Customer 0189,SKU-0040,48,in_transit
ORD-10190,Customer 0190,SKU-0068,183,delayed
ORD-10191,Customer 0191,SKU-0102,342,processing
ORD-10192,Customer 0192,SKU-0085,446,delayed
ORD-10193,Customer 0193,SKU-0137,204,delivered
ORD-10194,Customer 0194,SKU-0125,456,in_transit
ORD-10195,Customer 0195,SKU-0018,130,delayed
ORD-10196,Customer 0196,SKU-0074,126,delayed
ORD-10197,Customer 0197,SKU-0112,60,delayed
ORD-10198,Customer 0198,SKU-0026,237,confirmed
ORD-10199,Customer 0199,SKU-0077,472,processing
ORD-10200,Customer 0200,SKU-0084,417,processing
ORD-10201,Customer 0201,SKU-0092,201,in_transit
ORD-10202,Customer 0202,SKU-0063,281,in_transit
ORD-10203,Customer 0203,SKU-0047,97,confirmed
ORD-10204,Customer 0204,SKU-0098,327,delayed
ORD-10205,Customer 0205,SKU-0128,477,in_transit
ORD-10206,Customer 0206,SKU-0060,246,delayed
ORD-10207,Customer 0207,SKU-0118,140,delayed
ORD-10208,Customer 0208,SKU-0120,471,confirmed
ORD-10209,Customer 0209,SKU-0140,90,processing
ORD-10210,Customer 0210,SKU-0089,310,confirmed
ORD-10211,Customer 0211,SKU-0109,363,confirmed
ORD-10212,Customer 0212,SKU-0078,111,delivered
ORD-10213,Customer 0213,SKU-0124,64,confirmed
ORD-10214,Customer 0214,SKU-0147,193,in_transit
ORD-10215,Customer 0215,SKU-0076,21,delivered
ORD-10216,Customer 0216,SKU-0102,150,processing
ORD-10217,Customer 0217,SKU-0013,476,delayed
ORD-10218,Customer 0218,SKU-0128,436,delivered
ORD-10219,Customer 0219,SKU-0074,407,delayed
ORD-10220,Customer 0220,SKU-0091,122,delayed
ORD-10221,Customer 0221,SKU-0065,357,delayed
ORD-10222,Customer 0222,SKU-0036,331,processing
ORD-10223,Customer 0223,SKU-0011,168,delayed
ORD-10224,Customer 0224,SKU-0009,306,confirmed
ORD-10225,Customer 0225,SKU-0034,56,delivered
ORD-10226,Customer 0226,SKU-0084,392,in_transit
ORD-10227,Customer 0227,SKU-0052,77,delayed
ORD-10228,Customer 0228,SKU-0094,281,in_transit
ORD-10229,Customer 0229,SKU-0070,435,confirmed
ORD-10230,Customer 0230,SKU-0124,422,confirmed
ORD-10231,Customer 0231,SKU-0087,421,processing
ORD-10232,Customer 0232,SKU-0020,82,delayed
ORD-10233,Customer 0233,SKU-0058,450,delayed
ORD-10234,Customer 0234,SKU-0102,443,delivered
ORD-10235,Customer 0235,SKU-0094,56,delayed
ORD-10236,Customer 0236,SKU-0004,145,in_transit
ORD-10237,Customer 0237,SKU-0117,198,delayed
ORD-10238,Customer 0238,SKU-0068,309,confirmed
ORD-10239,Customer 0239,SKU-0096,65,delayed
ORD-10240,Customer 0240,SKU-0121,22,delayed
ORD-10241,Customer 0241,SKU-0144,177,delivered
ORD-10242,Customer 0242,SKU-0057,341,processing
ORD-10243,Customer 0243,SKU-0119,475,delayed
ORD-10244,Customer 0244,SKU-0105,69,processing
ORD-10245,Customer 0245,SKU-0010,165,delivered
ORD-10246,Customer 0246,SKU-0030,59,confirmed
ORD-10247,Customer 0247,SKU-0138,79,confirmed
ORD-10248,Customer 0248,SKU-0095,353,delivered
ORD-10249,Customer 0249,SKU-0139,224,in_transit
ORD-10250,Customer 0250,SKU-0040,463,in_transit
ORD-10251,Customer 0251,SKU-0026,436,in_transit
ORD-10252,Customer 0252,SKU-0105,490,delivered
ORD-10253,Customer 0253,SKU-0009,363,confirmed
ORD-10254,Customer 0254,SKU-0114,237,delivered
ORD-10255,Customer 0255,SKU-0093,60,delivered
ORD-10256,Customer 0256,SKU-0095,288,delivered
ORD-10257,Customer 0257,SKU-0092,41,confirmed
ORD-10258,Customer 0258,SKU-0049,72,delivered
ORD-10259,Customer 0259,SKU-0117,56,delayed
ORD-10260,Customer 0260,SKU-0006,35,delayed
ORD-10261,Customer 0261,SKU-0063,74,delayed
ORD-10262,Customer 0262,SKU-0053,45,delivered
ORD-10263,Customer 0263,SKU-0142,116,in_transit
ORD-10264,Customer 0264,SKU-0060,178,delayed
ORD-10265,Customer 0265,SKU-0001,151,delivered
ORD-10266,Customer 0266,SKU-0038,76,in_transit
ORD-10267,Customer 0267,SKU-0045,66,delayed
ORD-10268,Customer 0268,SKU-0007,77,processing
ORD-10269,Customer 0269,SKU-0061,311,confirmed
ORD-10270,Customer 0270,SKU-0045,145,processing
ORD-10271,Customer 0271,SKU-0108,279,processing
ORD-10272,Customer 0272,SKU-0017,253,in_transit
ORD-10273,Customer 0273,SKU-0093,272,in_transit
ORD-10274,Customer 0274,SKU-0116,267,confirmed
ORD-10275,Customer 0275,SKU-0012,382,delayed
ORD-10276,Customer 0276,SKU-0134,164,in_transit
ORD-10277,Customer 0277,SKU-0008,41,delivered
ORD-10278,Customer 0278,SKU-0103,228,delayed
ORD-10279,Customer 0279,SKU-0126,374,delivered
ORD-10280,Customer 0280,SKU-0019,470,processing
ORD-10281,Customer 0281,SKU-0038,43,processing
ORD-10282,Customer 0282,SKU-0150,290,delayed
ORD-10283,Customer 0283,SKU-0098,315,in_transit
ORD-10284,Customer 0284,SKU-0117,268,delayed
ORD-10285,Customer 0285,SKU-0026,416,delayed
ORD-10286,Customer 0286,SKU-0142,379,delivered
ORD-10287,Customer 0287,SKU-0111,241,delivered
ORD-10288,Customer 0288,SKU-0106,183,delivered
ORD-10289,Customer 0289,SKU-0103,222,delayed
ORD-10290,Customer 0290,SKU-0081,228,confirmed
ORD-10291,Customer 0291,SKU-0066,201,delivered
ORD-10292,Customer 0292,SKU-0122,44,processing
ORD-10293,Customer 0293,SKU-0022,57,in_transit
ORD-10294,Customer 0294,SKU-0096,425,processing
ORD-10295,Customer 0295,SKU-0016,310,delivered
ORD-10296,Customer 0296,SKU-0144,178,delayed
ORD-10297,Customer 0297,SKU-0106,191,delivered
ORD-10298,Customer 0298,SKU-0109,454,delivered
ORD-10299,Customer 0299,SKU-0014,157,delayed
ORD-10300,Customer 0300,SKU-0091,63,in_transit
ORD-10301,Customer 0301,SKU-0055,89,delayed
ORD-10302,Customer 0302,SKU-0058,443,processing
ORD-10303,Customer 0303,SKU-0143,198,processing
ORD-10304,Customer 0304,SKU-0072,303,confirmed
ORD-10305,Customer 0305,SKU-0110,442,in_transit
ORD-10306,Customer 0306,SKU-0143,23,delayed
ORD-10307,Customer 0307,SKU-0069,24,confirmed
ORD-10308,Customer 0308,SKU-0080,481,confirmed
ORD-10309,Customer 0309,SKU-0002,102,delivered
ORD-10310,Customer 0310,SKU-0145,346,in_transit
ORD-10311,Customer 0311,SKU-0037,389,delayed
ORD-10312,Customer 0312,SKU-0008,56,delayed
ORD-10313,Customer 0313,SKU-0056,202,in_transit
ORD-10314,Customer 0314,SKU-0088,90,confirmed
ORD-10315,Customer 0315,SKU-0084,407,delivered
ORD-10316,Customer 0316,SKU-0022,462,processing
ORD-10317,Customer 0317,SKU-0041,396,delayed
ORD-10318,Customer 0318,SKU-0021,149,in_transit
ORD-10319,Customer 0319,SKU-0109,258,delayed
ORD-10320,Customer 0320,SKU-0107,149,confirmed
ORD-10321,Customer 0321,SKU-0132,68,confirmed
ORD-10322,Customer 0322,SKU-0029,155,delayed
ORD-10323,Customer 0323,SKU-0125,279,delayed
ORD-10324,Customer 0324,SKU-0012,122,confirmed
ORD-10325,Customer 0325,SKU-0015,13,confirmed
ORD-10326,Customer 0326,SKU-0055,402,processing
ORD-10327,Customer 0327,SKU-0066,158,confirmed
ORD-10328,Customer 0328,SKU-0002,264,delayed
ORD-10329,Customer 0329,SKU-0045,76,confirmed
ORD-10330,Customer 0330,SKU-0059,266,in_transit
ORD-10331,Customer 0331,SKU-0091,46,confirmed
ORD-10332,Customer 0332,SKU-0011,233,processing
ORD-10333,Customer 0333,SKU-0020,451,confirmed
ORD-10334,Customer 0334,SKU-0110,303,in_transit
ORD-10335,Customer 0335,SKU-0107,158,processing
ORD-10336,Customer 0336,SKU-0006,176,confirmed
ORD-10337,Customer 0337,SKU-0118,435,delayed
ORD-10338,Customer 0338,SKU-0093,55,in_transit
ORD-10339,Customer 0339,SKU-0028,134,in_transit
ORD-10340,Customer 0340,SKU-0103,278,processing
ORD-10341,Customer 0341,SKU-0080,391,confirmed
ORD-10342,Customer 0342,SKU-0086,408,confirmed
ORD-10343,Customer 0343,SKU-0131,334,processing
ORD-10344,Customer 0344,SKU-0131,109,delivered
ORD-10345,Customer 0345,SKU-0090,189,delayed
ORD-10346,Customer 0346,SKU-0038,130,processing
ORD-10347,Customer 0347,SKU-0066,111,confirmed
ORD-10348,Customer 0348,SKU-0040,399,delayed
ORD-10349,Customer 0349,SKU-0020,100,delivered
ORD-10350,Customer 0350,SKU-0127,247,delayed
ORD-10351,Customer 0351,SKU-0149,239,delayed
ORD-10352,Customer 0352,SKU-0145,339,delayed
ORD-10353,Customer 0353,SKU-0083,452,delivered
ORD-10354,Customer 0354,SKU-0081,87,in_transit
ORD-10355,Customer 0355,SKU-0121,236,delayed
ORD-10356,Customer 0356,SKU-0071,312,processing
ORD-10357,Customer 0357,SKU-0130,47,confirmed
ORD-10358,Customer 0358,SKU-0116,29,processing
ORD-10359,Customer 0359,SKU-0074,49,delayed
ORD-10360,Customer 0360,SKU-0024,324,in_transit
ORD-10361,Customer 0361,SKU-0099,246,in_transit
ORD-10362,Customer 0362,SKU-0011,240,delivered
ORD-10363,Customer 0363,SKU-0147,343,confirmed
ORD-10364,Customer 0364,SKU-0122,266,confirmed
ORD-10365,Customer 0365,SKU-0016,240,processing
ORD-10366,Customer 0366,SKU-0088,375,processing
ORD-10367,Customer 0367,SKU-0045,30,confirmed
ORD-10368,Customer 0368,SKU-0113,234,in_transit
ORD-10369,Customer 0369,SKU-0041,196,confirmed
ORD-10370,Customer 0370,SKU-0073,208,in_transit
ORD-10371,Customer 0371,SKU-0087,357,in_transit
ORD-10372,Customer 0372,SKU-0086,43,confirmed
ORD-10373,Customer 0373,SKU-0143,357,confirmed
ORD-10374,Customer 0374,SKU-0065,380,delivered
ORD-10375,Customer 0375,SKU-0039,180,processing
ORD-10376,Customer 0376,SKU-0037,479,confirmed
ORD-10377,Customer 0377,SKU-0101,76,in_transit
ORD-10378,Customer 0378,SKU-0022,168,in_transit
ORD-10379,Customer 0379,SKU-0085,426,processing
ORD-10380,Customer 0380,SKU-0135,57,delayed
ORD-10381,Customer 0381,SKU-0109,270,confirmed
ORD-10382,Customer 0382,SKU-0093,168,confirmed
ORD-10383,Customer 0383,SKU-0055,184,delivered
ORD-10384,Customer 0384,SKU-0125,108,confirmed
ORD-10385,Customer 0385,SKU-0036,89,processing
ORD-10386,Customer 0386,SKU-0026,269,delayed
ORD-10387,Customer 0387,SKU-0135,29,delayed
ORD-10388,Customer 0388,SKU-0034,315,confirmed
ORD-10389,Customer 0389,SKU-0042,102,delivered
ORD-10390,Customer 0390,SKU-0043,379,in_transit
ORD-10391,Customer 0391,SKU-0106,196,delayed
ORD-10392,Customer 0392,SKU-0061,237,delayed
ORD-10393,Customer 0393,SKU-0115,129,in_transit
ORD-10394,Customer 0394,SKU-0080,424,delayed
ORD-10395,Customer 0395,SKU-0050,198,delayed
ORD-10396,Customer 0396,SKU-0147,235,in_transit
ORD-10397,Customer 0397,SKU-0073,408,confirmed
ORD-10398,Customer 0398,SKU-0136,224,delivered
ORD-10399,Customer 0399,SKU-0052,420,delayed
ORD-10400,Customer 0400,SKU-0065,36,delayed
ORD-10401,Customer 0401,SKU-0096,293,delivered
ORD-10402,Customer 0402,SKU-0133,445,processing
ORD-10403,Customer 0403,SKU-0022,400,confirmed
ORD-10404,Customer 0404,SKU-0116,473,in_transit
ORD-10405,Customer 0405,SKU-0112,56,delivered
ORD-10406,Customer 0406,SKU-0057,428,in_transit
ORD-10407,Customer 0407,SKU-0090,486,processing
ORD-10408,Customer 0408,SKU-0014,212,in_transit
ORD-10409,Customer 0409,SKU-0061,207,delivered
ORD-10410,Customer 0410,SKU-0096,124,processing
ORD-10411,Customer 0411,SKU-0026,439,delayed
ORD-10412,Customer 0412,SKU-0086,415,processing
ORD-10413,Customer 0413,SKU-0010,156,delivered
ORD-10414,Customer 0414,SKU-0121,366,delivered
ORD-10415,Customer 0415,SKU-0121,239,delayed
ORD-10416,Customer 0416,SKU-0021,19,confirmed
ORD-10417,Customer 0417,SKU-0039,290,delivered
ORD-10418,Customer 0418,SKU-0136,226,processing
ORD-10419,Customer 0419,SKU-0074,131,confirmed
ORD-10420,Customer 0420,SKU-0013,132,in_transit
ORD-10421,Customer 0421,SKU-0118,42,processing
ORD-10422,Customer 0422,SKU-0128,315,in_transit
ORD-10423,Customer 0423,SKU-0132,304,confirmed
ORD-10424,Customer 0424,SKU-0037,159,in_transit
ORD-10425,Customer 0425,SKU-0091,133,in_transit
ORD-10426,Customer 0426,SKU-0048,350,delayed
ORD-10427,Customer 0427,SKU-0135,194,processing
ORD-10428,Customer 0428,SKU-0135,288,in_transit
ORD-10429,Customer 0429,SKU-0130,293,processing
ORD-10430,Customer 0430,SKU-0121,32,delayed
ORD-10431,Customer 0431,SKU-0096,139,delayed
ORD-10432,Customer 0432,SKU-0092,413,processing
ORD-10433,Customer 0433,SKU-0062,385,delayed
ORD-10434,Customer 0434,SKU-0027,405,in_transit
ORD-10435,Customer 0435,SKU-0086,78,processing
ORD-10436,Customer 0436,SKU-0140,183,delivered
ORD-10437,Customer 0437,SKU-0045,435,delayed
ORD-10438,Customer 0438,SKU-0119,366,in_transit
ORD-10439,Customer 0439,SKU-0047,425,processing
ORD-10440,Customer 0440,SKU-0118,28,confirmed
ORD-10441,Customer 0441,SKU-0012,415,confirmed
ORD-10442,Customer 0442,SKU-0011,171,delivered
ORD-10443,Customer 0443,SKU-0132,213,delivered
ORD-10444,Customer 0444,SKU-0140,252,confirmed
ORD-10445,Customer 0445,SKU-0049,156,confirmed
ORD-10446,Customer 0446,SKU-0013,453,delayed
ORD-10447,Customer 0447,SKU-0070,73,delayed
ORD-10448,Customer 0448,SKU-0112,465,in_transit
ORD-10449,Customer 0449,SKU-0113,468,delivered
ORD-10450,Customer 0450,SKU-0087,105,in_transit
ORD-10451,Customer 0451,SKU-0128,198,delivered
ORD-10452,Customer 0452,SKU-0133,146,delivered
ORD-10453,Customer 0453,SKU-0109,50,in_transit
ORD-10454,Customer 0454,SKU-0047,289,confirmed
ORD-10455,Customer 0455,SKU-0027,50,confirmed
ORD-10456,Customer 0456,SKU-0076,166,in_transit
ORD-10457,Customer 0457,SKU-0110,95,delayed
ORD-10458,Customer 0458,SKU-0090,238,processing
ORD-10459,Customer 0459,SKU-0091,324,delivered
ORD-10460,Customer 0460,SKU-0071,337,delivered
ORD-10461,Customer 0461,SKU-0015,48,delayed
ORD-10462,Customer 0462,SKU-0104,196,in_transit
ORD-10463,Customer 0463,SKU-0041,497,processing
ORD-10464,Customer 0464,SKU-0113,27,processing
ORD-10465,Customer 0465,SKU-0061,408,delayed
ORD-10466,Customer 0466,SKU-0093,206,delivered
ORD-10467,Customer 0467,SKU-0009,319,confirmed
ORD-10468,Customer 0468,SKU-0116,495,confirmed
ORD-10469,Customer 0469,SKU-0114,400,processing
ORD-10470,Customer 0470,SKU-0036,281,confirmed
ORD-10471,Customer 0471,SKU-0081,342,confirmed
ORD-10472,Customer 0472,SKU-0030,23,delayed
ORD-10473,Customer 0473,SKU-0128,275,confirmed
ORD-10474,Customer 0474,SKU-0144,70,confirmed
ORD-10475,Customer 0475,SKU-0067,370,in_transit
ORD-10476,Customer 0476,SKU-0074,365,delivered
ORD-10477,Customer 0477,SKU-0126,112,processing
ORD-10478,Customer 0478,SKU-0019,241,confirmed
ORD-10479,Customer 0479,SKU-0114,54,delivered
ORD-10480,Customer 0480,SKU-0082,351,confirmed
ORD-10481,Customer 0481,SKU-0017,291,in_transit
ORD-10482,Customer 0482,SKU-0077,445,delayed
ORD-10483,Customer 0483,SKU-0045,416,confirmed
ORD-10484,Customer 0484,SKU-0058,72,delivered
ORD-10485,Customer 0485,SKU-0036,131,delayed
ORD-10486,Customer 0486,SKU-0007,194,in_transit
ORD-10487,Customer 0487,SKU-0095,249,delivered
ORD-10488,Customer 0488,SKU-0142,76,delayed
ORD-10489,Customer 0489,SKU-0023,43,confirmed
ORD-10490,Customer 0490,SKU-0123,279,in_transit
ORD-10491,Customer 0491,SKU-0105,431,in_transit
ORD-10492,Customer 0492,SKU-0033,172,delayed
ORD-10493,Customer 0493,SKU-0116,248,delayed
ORD-10494,Customer 0494,SKU-0089,75,delivered
ORD-10495,Customer 0495,SKU-0142,337,in_transit
ORD-10496,Customer 0496,SKU-0034,231,in_transit
ORD-10497,Customer 0497,SKU-0015,435,processing
ORD-10498,Customer 0498,SKU-0040,165,confirmed
ORD-10499,Customer 0499,SKU-0083,488,delayed
ORD-10500,Customer 0500,SKU-0089,495,delivered
ORD-10501,Customer 0501,SKU-0073,443,processing
ORD-10502,Customer 0502,SKU-0051,335,delivered
ORD-10503,Customer 0503,SKU-0071,74,delayed
ORD-10504,Customer 0504,SKU-0137,57,in_transit
ORD-10505,Customer 0505,SKU-0044,313,delivered
ORD-10506,Customer 0506,SKU-0040,97,delayed
ORD-10507,Customer 0507,SKU-0087,441,delivered
ORD-10508,Customer 0508,SKU-0011,432,delivered
ORD-10509,Customer 0509,SKU-0021,33,delivered
ORD-10510,Customer 0510,SKU-0148,145,delayed
ORD-10511,Customer 0511,SKU-0147,223,delayed
